All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N75     L50  L75  # N's per 100 kbp
3138_irida_submission_4809   29                   29                      20                      18                       17                       11                       4700588                 4700588                    4682580                    4670081                     4654910                     4421132                     29         1019589         4700588       52.23   691882  354322  3    6    0.00             
3139_irida_submission_4813   39                   39                      29                      25                       23                       16                       4700502                 4700502                    4681721                    4650441                     4623743                     4361285                     39         979504          4700502       52.23   474270  181868  4    8    0.00             
3140_irida_submission_4811   33                   33                      26                      25                       24                       19                       4859915                 4859915                    4843890                    4837690                     4827361                     4652589                     33         1023802         4859915       52.04   291327  176383  4    10   0.00             
3142_irida_submission_4815   32                   32                      23                      20                       18                       13                       4683700                 4683700                    4665674                    4644168                     4616099                     4425783                     32         1188418         4683700       52.26   714898  232780  3    6    0.00             
3143_irida_submission_4819   43                   43                      34                      29                       23                       21                       4862374                 4862374                    4844578                    4808537                     4681480                     4613873                     43         585613          4862374       52.24   376792  149898  5    12   0.00             
3144_irida_submission_4817   43                   43                      33                      30                       25                       21                       4914425                 4914425                    4895757                    4877663                     4796946                     4652956                     43         717808          4914425       51.97   408603  152831  5    10   0.00             
3145_irida_submission_4824   47                   47                      34                      30                       27                       19                       5010309                 5010309                    4985697                    4960894                     4914693                     4631438                     47         717809          5010309       51.93   407524  152831  5    10   0.00             
3146_irida_submission_4822   52                   52                      42                      36                       34                       25                       4677319                 4677319                    4659438                    4612720                     4579699                     4245482                     52         480386          4677319       52.26   222326  110079  8    16   0.00             
3147_irida_submission_4828   35                   35                      25                      21                       19                       13                       4676969                 4676969                    4659090                    4631910                     4596297                     4379012                     35         839876          4676969       52.26   370699  327396  4    7    0.00             
3149_irida_submission_4826   34                   34                      25                      21                       20                       14                       4676281                 4676281                    4659209                    4632029                     4615575                     4382381                     34         1070024         4676281       52.26   631235  248676  3    6    0.00             
3151_irida_submission_4830   45                   45                      35                      33                       27                       20                       4814359                 4814359                    4790347                    4775820                     4671589                     4409596                     45         720197          4814359       52.14   275479  159604  6    12   0.00             
3156_irida_submission_4832   34                   34                      23                      21                       20                       14                       4712709                 4712709                    4689877                    4677462                     4662291                     4427364                     34         1108001         4712709       52.23   683015  248676  3    6    0.00             
3158_irida_submission_4834   31                   31                      21                      18                       17                       12                       4714229                 4714229                    4694789                    4676280                     4661109                     4471213                     31         1037974         4714229       52.23   714819  353902  3    6    0.00             
3160_irida_submission_4836   105                  105                     89                      85                       63                       35                       4800317                 4800317                    4760690                    4731041                     4340790                     3340525                     105        300074          4800317       52.19   68011   42933   20   41   0.00             
3162_irida_submission_7407   47                   47                      37                      35                       29                       23                       4814908                 4814908                    4792752                    4782286                     4679685                     4466169                     47         720197          4814908       52.14   191687  150194  7    14   0.00             
3166_irida_submission_7409   45                   45                      35                      34                       28                       23                       4815445                 4815445                    4790022                    4784011                     4681319                     4511910                     45         720197          4815445       52.14   207706  149723  7    14   0.00             
3167_irida_submission_7542   31                   31                      27                      26                       25                       20                       4685948                 4685948                    4675234                    4669148                     4659122                     4489804                     31         792814          4685948       52.17   296189  153269  6    11   0.00             
3168_irida_submission_7544   28                   28                      23                      22                       21                       17                       4848431                 4848431                    4836982                    4830782                     4820265                     4678678                     28         1022738         4848431       52.03   396595  213929  4    9    0.00             
3169_irida_submission_7546   26                   26                      19                      18                       18                       14                       4694759                 4694759                    4677498                    4671412                     4671412                     4529433                     26         1278723         4694759       52.13   406369  227909  4    7    0.00             
3171_irida_submission_7548   57                   57                      42                      39                       35                       26                       4960356                 4960356                    4923872                    4903248                     4814172                     4467453                     57         471840          4960356       52.20   177109  94014   7    16   0.00             
3176_irida_submission_7550   52                   52                      39                      35                       29                       22                       4958394                 4958394                    4932027                    4904183                     4773510                     4508536                     52         542874          4958394       52.20   225813  149898  7    13   0.00             
3179_irida_submission_7552   45                   45                      32                      28                       25                       18                       4862783                 4862783                    4834967                    4809578                     4763826                     4498533                     45         672145          4862783       52.00   408444  179235  5    9    0.00             
3180_irida_submission_7554   25                   25                      20                      19                       19                       16                       4692886                 4692886                    4678874                    4672788                     4672788                     4566170                     25         990185          4692886       52.13   361460  227909  5    9    0.00             
3181_irida_submission_7556   27                   27                      22                      21                       21                       15                       4694753                 4694753                    4681071                    4674985                     4674985                     4434998                     27         1278253         4694753       52.14   389372  226259  3    8    0.00             
3184_irida_submission_7558   44                   44                      30                      28                       25                       19                       4863336                 4863336                    4830695                    4818534                     4772782                     4570792                     44         717691          4863336       52.00   378801  222116  5    9    0.00             
3186_irida_submission_7560   43                   43                      33                      30                       27                       19                       4784305                 4784305                    4762756                    4741334                     4695509                     4373653                     43         963862          4784305       52.25   441314  129121  4    10   0.00             
3191_irida_submission_7562   29                   29                      20                      16                       14                       9                        4675105                 4675105                    4659377                    4631762                     4603231                     4413341                     29         1873896         4675105       52.26   735380  353804  2    4    0.00             
3193_irida_submission_7564   29                   29                      22                      20                       19                       16                       4881386                 4881386                    4864950                    4851937                     4831219                     4725851                     29         766900          4881386       52.15   520605  238071  4    8    0.00             
3197_irida_submission_7566   30                   30                      21                      18                       16                       11                       4707351                 4707351                    4691708                    4670286                     4641755                     4451355                     30         891351          4707351       52.24   660800  354407  4    6    0.00             
3198_irida_submission_7568   45                   45                      37                      36                       30                       26                       4811884                 4811884                    4793150                    4787139                     4685836                     4535969                     45         720197          4811884       52.13   191687  128313  8    15   0.00             
3199_irida_submission_7570   50                   50                      40                      35                       30                       24                       4815637                 4815637                    4791474                    4752032                     4675263                     4459290                     50         720197          4815637       52.14   185970  148684  8    15   0.00             
3200_irida_submission_7572   33                   33                      24                      21                       20                       14                       4670425                 4670425                    4654697                    4633191                     4616737                     4380830                     33         1038569         4670425       52.27   365855  346123  4    7    0.00             
3302_irida_submission_7574   55                   55                      41                      34                       27                       20                       5045451                 5045451                    5018447                    4966829                     4860597                     4601318                     55         758596          5045451       51.94   342512  152830  6    11   0.00             
3303_irida_submission_7576   19                   19                      16                      15                       15                       12                       4693478                 4693478                    4684904                    4678818                     4678818                     4572200                     19         1509327         4693478       52.14   491914  304636  3    6    0.00             
3305_irida_submission_7578   55                   55                      40                      34                       31                       25                       4868971                 4868971                    4837143                    4796335                     4750484                     4533519                     55         538637          4868971       52.00   220837  133803  7    14   0.00             
3306_irida_submission_7580   52                   52                      37                      32                       29                       23                       4865435                 4865435                    4830774                    4800939                     4755088                     4546124                     52         429311          4865435       51.99   285825  148645  7    13   0.00             
3310_irida_submission_7582   54                   54                      39                      33                       27                       20                       5040584                 5040584                    5009041                    4964769                     4875940                     4617145                     54         745839          5040584       51.94   264501  152831  6    12   0.00             
3311_irida_submission_7584   63                   63                      47                      40                       32                       24                       5043155                 5043155                    5013106                    4960422                     4841920                     4548225                     63         505416          5043155       51.95   234566  116198  7    15   0.00             
3313_irida_submission_7586   59                   59                      43                      36                       28                       20                       5044010                 5044010                    5011918                    4961405                     4836589                     4542347                     59         745839          5044010       51.94   333928  129991  5    12   0.00             
3314_irida_submission_7588   45                   45                      36                      32                       27                       22                       4910712                 4910712                    4890940                    4865994                     4797511                     4626767                     45         717508          4910712       51.96   260763  147904  6    12   0.00             
3315_irida_submission_7590   54                   54                      37                      31                       26                       20                       5043758                 5043758                    5009468                    4964835                     4890634                     4673543                     54         758596          5043758       51.94   328762  152831  5    10   0.00             
3317_irida_submission_7592   33                   33                      24                      22                       20                       16                       4767307                 4767307                    4751478                    4739989                     4708169                     4575750                     33         745834          4767307       52.04   407491  237489  4    8    0.00             
3318_irida_submission_7594   60                   60                      44                      37                       31                       22                       5044721                 5044721                    5014524                    4964542                     4876097                     4541023                     60         745839          5044721       51.94   237807  148644  7    14   0.00             
3319_irida_submission_7596   61                   61                      46                      38                       33                       27                       4995249                 4995249                    4959930                    4902137                     4821311                     4594738                     61         476481          4995249       52.09   226465  106866  9    16   0.00             
3321_irida_submission_7485   54                   54                      38                      35                       31                       27                       4860314                 4860314                    4824508                    4804459                     4727806                     4602692                     54         463966          4860314       52.04   189013  139792  8    15   0.00             
3322_irida_submission_7487   52                   52                      36                      31                       28                       23                       4870556                 4870556                    4837057                    4805386                     4759535                     4587892                     52         561264          4870556       51.99   285886  133803  6    12   0.00             
3323_irida_submission_7499   55                   55                      37                      29                       25                       18                       5043221                 5043221                    5005193                    4946498                     4886916                     4636252                     55         758843          5043221       51.94   407478  152831  5    10   0.02             
3324_irida_submission_7489   54                   54                      39                      33                       30                       21                       4866754                 4866754                    4835894                    4798652                     4752801                     4436299                     54         429311          4866754       51.99   285964  148349  7    13   0.00             
3326_irida_submission_7491   64                   64                      49                      42                       37                       32                       4827856                 4827856                    4791498                    4741417                     4645523                     4468940                     64         405944          4827856       52.08   146200  92803   11   21   0.00             
3332_irida_submission_7376   30                   30                      24                      23                       21                       17                       4847520                 4847520                    4834229                    4828029                     4795441                     4653591                     30         773525          4847520       52.04   291737  231407  5    10   0.00             
3333_irida_submission_7381   52                   52                      43                      38                       31                       28                       5011381                 5011381                    4994011                    4963632                     4848866                     4728461                     52         461719          5011381       52.12   225811  113131  8    16   0.00             
3336_irida_submission_7501   56                   56                      39                      33                       27                       19                       5043744                 5043744                    5008775                    4964386                     4875700                     4567600                     56         642953          5043744       51.94   328632  152831  6    11   0.02             
3337_irida_submission_7503   53                   53                      38                      31                       25                       17                       5044455                 5044455                    5015903                    4964723                     4875755                     4571774                     53         745839          5044455       51.94   407313  162935  5    9    0.00             
3338_irida_submission_7505   39                   39                      29                      26                       25                       19                       4905356                 4905356                    4885388                    4867153                     4848084                     4634921                     39         745839          4905356       52.02   328632  237705  5    9    0.00             
3339_irida_submission_7440   45                   45                      34                      30                       26                       20                       4861220                 4861220                    4837994                    4810902                     4722050                     4504782                     45         585613          4861220       52.24   376792  149898  5    11   0.00             
3341_irida_submission_7493   45                   45                      33                      30                       28                       22                       4858685                 4858685                    4835513                    4818754                     4783458                     4593397                     45         717070          4858685       52.02   285443  146322  6    13   0.00             
3342_irida_submission_7379   30                   30                      25                      24                       22                       17                       4850514                 4850514                    4838254                    4832054                     4798224                     4630851                     30         767323          4850514       52.04   298840  231407  5    10   0.00             
3344_irida_submission_7495   46                   46                      36                      33                       29                       24                       4765681                 4765681                    4743912                    4726639                     4668665                     4495631                     46         643100          4765681       52.04   276742  149005  7    13   0.00             
3348_irida_submission_7346   24                   24                      19                      17                       17                       13                       4642501                 4642501                    4628691                    4617015                     4617015                     4460942                     24         1278723         4642501       52.13   478484  389169  3    6    0.00             
3349_irida_submission_7507   56                   56                      42                      35                       29                       18                       5042222                 5042222                    5014325                    4963607                     4875389                     4472209                     56         745839          5042222       51.94   333363  152831  5    11   0.00             
3351_irida_submission_7497   48                   48                      33                      29                       26                       21                       4865668                 4865668                    4829860                    4806773                     4760922                     4589541                     48         561264          4865668       51.99   332959  163079  6    11   0.00             
3352_irida_submission_7348   24                   24                      19                      17                       17                       14                       4698618                 4698618                    4684606                    4672930                     4672930                     4566312                     24         1278723         4698618       52.13   490199  304635  3    6    0.00             
3353_irida_submission_7444   34                   34                      24                      22                       20                       13                       4711255                 4711255                    4688168                    4675669                     4648127                     4373766                     34         739578          4711255       52.23   534506  288803  4    7    0.00             
